hash,predict,answer
3adedd01-3444-5fee-a543-c97179868d26,5,3
1ba21f13-8b26-51a8-a4d9-d17364c14e04,6,0
1a2ffdf7-fb88-5191-88e8-0b618ea84de3,5,4
2cf86f93-cf73-56b4-a3ec-4373466b881b,6,3
2e06f5ec-d25e-54c0-8502-3eb6d1630bb2,5,6
3f78de52-b298-50ba-a5f6-4bdcde422e14,0,1
01aaa966-cba6-5760-a864-bee8df84bb40,5,5
1de6125c-468e-5254-bb00-851d6eb88ca1,4,0
0e0398cf-d97d-5ec9-ab9a-0b09821e3a1c,0,0
3c6997d8-a66f-5f9e-94f8-95c2928eb85a,6,1
0a1c4aeb-4931-5a79-a0b5-d815f7d264ee,0,4
3c840831-dc20-593c-bab7-de9feb7b8547,6,3
0c633fad-5a0e-5726-9dfe-28a4f4c6b282,7,7
3b02841a-3c4e-521c-8e3e-81235317bdc1,6,6
0c2304d2-062d-565a-9f99-d92394520d65,0,7
1a0bc304-3bcc-5912-af0f-987f2c8c9462,5,5
0ef6a579-a186-52bd-9765-506499f0aafd,1,7
02e9662e-15e3-5263-8204-53cff775e789,6,6
2ff753e0-c60f-54a8-b4f1-cff0fe9ed322,4,2
0d7b109b-f62f-545d-991c-33f4ed130a20,0,4
1bab7ee6-6ecd-5306-89d9-97306268b688,5,5
3e0952fa-ed4b-563e-8159-197ed699b076,3,1
0a10c249-c54a-50c2-8970-b88baf2f08a7,5,0
0c817abe-5de4-5cd5-a533-0fb4e3f46348,6,7
0a6e00ac-823e-5365-bbd5-6854d9dd3ffa,2,1
0b7dc97b-166a-51a8-92d4-a797a76dab22,0,0
0e87a693-ed6e-5eac-a117-04e754c6fcb4,0,2
1e212750-3338-52e4-b465-1590f4509363,4,0
4bd4521b-d83e-5fea-9b62-00e138a8581b,3,3
1c2d5ef6-9910-506d-b339-1855f7977f77,5,3
3b7b8eec-318e-56b3-8d28-f9b5849083ca,3,1
1ced0335-6d34-5c12-a053-731f4986b73f,3,5
0de49bfa-ae72-5ad7-9b07-249e87666f46,1,7
1b6eca66-b5e5-55ff-82c8-ff26ec02e2ee,3,3
0fd1ad96-abcc-5f5d-8c32-ff0c574e325e,6,6
2ab26452-5004-5632-8757-f264ca72aee5,5,2
1b790974-133e-56ba-b51c-e99621046333,5,5
2c0be73b-6b67-5bed-a681-8c0e99e4cb1d,6,6
2eedf9d7-8273-53ff-8dca-f1ec28715eac,3,3
0cb175cb-f107-527d-ad4e-2b0ab5093519,5,5
0c65ad48-384c-5568-837f-b2af607816d3,6,6
4e25aad3-ec2f-590a-b987-fb3b00757ede,5,2
0d19ce9a-0d9c-5c70-a74a-221d56c79ba2,0,6
2ff3477a-6dc7-506a-86e4-745836c6583a,1,1
4b02726e-1eb8-5fba-ae3f-2fe443c7e586,5,2
1b3c49fb-14fa-5bd8-936e-2e57426ee810,0,0
4f7a8b44-f353-539a-a63d-6f1721067a11,2,2
1e21ac3a-d330-5f7e-9dc3-c8d8406faba0,5,5
1ad047b8-3bdd-5bf9-b675-6edb47af9a29,5,6
02c1183f-a460-5abd-a8e1-329b5e6e94c0,0,0
1b4fb800-3939-530e-87e5-0151e9c8f090,0,1
0f1a4441-f79f-5417-b4ad-af723d0fc7b2,6,5
1b4d091f-c04c-5e2c-8176-465d151816ea,0,4
3e860d2b-1c83-52ef-8073-c2224b5851e4,6,6
2c2bd237-1468-5ea2-9817-3b1f34704fef,0,0
3b4b3323-7da3-5f72-b8f3-caa1a8b6d5d2,0,2
0e01e79a-bc00-5d49-b77f-5ef382bf4808,3,7
0bdc1188-be06-5e2d-8d6c-483cec14266a,5,7
0c8271c0-5051-572e-bdb3-1ab199994574,4,4
0f9cadfc-482e-5f28-960b-c68cace40247,4,7
2ccaa66c-0bfa-5025-abfb-7b4bd9a1e378,0,0
2b40f46c-7ec3-5e26-87ff-7d54d34b3368,5,2
0db54d9e-a362-5e49-9d7f-da32285078bd,6,4
1a9e67ac-cf92-5dae-8fcf-3a8ffb65b661,4,7
